INFO:root:World initiialized
INFO:root:Populating world with 100 particles
INFO:root:World populated
INFO:root:Running simulation for 1000 ticks
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1036, j: 86, c: 91
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1047, j: 86, c: 91
DEBUG:root:Merging to 2nd particle. 1st mass 52, 2nd mass 117, j: 76, c: 12
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1058, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1069, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1080, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1091, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1102, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1113, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1124, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1135, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1146, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1157, j: 85, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 76, 2nd mass 88, j: 2, c: 13
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1168, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1179, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1190, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1201, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1212, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1223, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1234, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1245, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1256, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1267, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1278, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1289, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1300, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 22, j: 27, c: 99
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1311, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 33, j: 27, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1322, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 44, j: 27, c: 96
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 55, j: 27, c: 96
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1333, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 66, j: 27, c: 95
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 77, j: 27, c: 95
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1344, j: 84, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 88, j: 27, c: 94
DEBUG:root:Merging to 2nd particle. 1st mass 22, 2nd mass 157, j: 76, c: 86
DEBUG:root:Merging to 2nd particle. 1st mass 22, 2nd mass 179, j: 76, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 99, j: 27, c: 92
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1355, j: 84, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1366, j: 84, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 110, j: 27, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 121, j: 27, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 132, j: 27, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 143, j: 27, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 154, j: 27, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1377, j: 84, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 165, j: 27, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 176, j: 27, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 187, j: 27, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 198, j: 27, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 209, j: 27, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 220, j: 27, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 231, j: 27, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 64, 2nd mass 83, j: 79, c: 50
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1388, j: 83, c: 86
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 242, j: 27, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 253, j: 27, c: 89
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 264, j: 27, c: 91
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 275, j: 27, c: 91
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1399, j: 83, c: 86
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 286, j: 27, c: 91
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 297, j: 27, c: 92
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 29, j: 22, c: 97
DEBUG:root:Merging to 2nd particle. 1st mass 308, 2nd mass 1410, j: 83, c: 27
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 40, j: 22, c: 96
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 51, j: 22, c: 95
DEBUG:root:Merging to 2nd particle. 1st mass 56, 2nd mass 81, j: 31, c: 78
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 62, j: 22, c: 94
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1718, j: 81, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1729, j: 81, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 73, j: 22, c: 92
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1740, j: 81, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 84, j: 22, c: 91
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 95, j: 22, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 106, j: 22, c: 90
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1751, j: 81, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1762, j: 81, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 117, j: 22, c: 88
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 128, j: 22, c: 88
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 139, j: 22, c: 88
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1773, j: 81, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 150, j: 22, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 161, j: 22, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 172, j: 22, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 183, j: 22, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1784, j: 81, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 194, j: 22, c: 86
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 205, j: 22, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1795, j: 81, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 216, j: 22, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 1806, j: 81, c: 84
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 227, j: 22, c: 87
DEBUG:root:Merging to 2nd particle. 1st mass 42, 2nd mass 76, j: 30, c: 56
DEBUG:root:Merging to 2nd particle. 1st mass 81, 2nd mass 147, j: 76, c: 27
DEBUG:root:Merging to 2nd particle. 1st mass 238, 2nd mass 1817, j: 79, c: 22
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2055, j: 78, c: 85
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2066, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2077, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2088, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2099, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2110, j: 78, c: 81
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 2121, j: 78, c: 81
